n,t,d,m,caso,tiempo_ns,tiempo_ms,tiempo_s,memoria_bytes
16,densa,D0,a,1,7410,0.00741,7.41e-06,1024
16,densa,D0,a,2,7216,0.007216,7.216e-06,1024
16,densa,D0,b,1,4673,0.004673,4.673e-06,1024
16,densa,D0,b,2,4689,0.004689,4.689e-06,1024
16,densa,D0,c,1,7682,0.007682,7.682e-06,1024
16,densa,D0,c,2,2752,0.002752,2.752e-06,1024
16,densa,D10,a,1,3130,0.00313,3.13e-06,1024
16,densa,D10,a,2,3169,0.003169,3.169e-06,1024
16,densa,D10,b,1,2512,0.002512,2.512e-06,1024
16,densa,D10,b,2,3115,0.003115,3.115e-06,1024
16,densa,D10,c,1,4782,0.004782,4.782e-06,1024
16,densa,D10,c,2,7351,0.007351,7.351e-06,1024
16,diagonal,D0,a,1,7498,0.007498,7.498e-06,1024
16,diagonal,D0,a,2,3331,0.003331,3.331e-06,1024
16,diagonal,D0,b,1,2559,0.002559,2.559e-06,1024
16,diagonal,D0,b,2,2856,0.002856,2.856e-06,1024
16,diagonal,D0,c,1,7551,0.007551,7.551e-06,1024
16,diagonal,D0,c,2,7807,0.007807,7.807e-06,1024
16,diagonal,D10,a,1,3039,0.003039,3.039e-06,1024
16,diagonal,D10,a,2,2936,0.002936,2.936e-06,1024
16,diagonal,D10,b,1,3426,0.003426,3.426e-06,1024
16,diagonal,D10,b,2,3542,0.003542,3.542e-06,1024
16,diagonal,D10,c,1,7494,0.007494,7.494e-06,1024
16,diagonal,D10,c,2,7656,0.007656,7.656e-06,1024
16,dispersa,D0,a,1,6452,0.006452,6.452e-06,1024
16,dispersa,D0,a,2,7478,0.007478,7.478e-06,1024
16,dispersa,D0,b,1,2510,0.00251,2.51e-06,1024
16,dispersa,D0,b,2,6301,0.006301,6.301e-06,1024
16,dispersa,D0,c,1,3805,0.003805,3.805e-06,1024
16,dispersa,D0,c,2,4537,0.004537,4.537e-06,1024
16,dispersa,D10,a,1,7408,0.007408,7.408e-06,1024
16,dispersa,D10,a,2,6611,0.006611,6.611e-06,1024
16,dispersa,D10,b,1,8551,0.008551,8.551e-06,1024
16,dispersa,D10,b,2,2556,0.002556,2.556e-06,1024
16,dispersa,D10,c,1,4730,0.00473,4.73e-06,1024
16,dispersa,D10,c,2,2876,0.002876,2.876e-06,1024
64,densa,D0,a,1,171135,0.171135,0.000171135,16384
64,densa,D0,a,2,212271,0.212271,0.000212271,16384
64,densa,D0,b,1,292242,0.292242,0.000292242,16384
64,densa,D0,b,2,268635,0.268635,0.000268635,16384
64,densa,D0,c,1,395291,0.395291,0.000395291,16384
64,densa,D0,c,2,324885,0.324885,0.000324885,16384
64,densa,D10,a,1,190276,0.190276,0.000190276,16384
64,densa,D10,a,2,206294,0.206294,0.000206294,16384
64,densa,D10,b,1,297445,0.297445,0.000297445,16384
64,densa,D10,b,2,205243,0.205243,0.000205243,16384
64,densa,D10,c,1,212741,0.212741,0.000212741,16384
64,densa,D10,c,2,212899,0.212899,0.000212899,16384
64,diagonal,D0,a,1,357685,0.357685,0.000357685,16384
64,diagonal,D0,a,2,279174,0.279174,0.000279174,16384
64,diagonal,D0,b,1,361207,0.361207,0.000361207,16384
64,diagonal,D0,b,2,333837,0.333837,0.000333837,16384
64,diagonal,D0,c,1,220155,0.220155,0.000220155,16384
64,diagonal,D0,c,2,341608,0.341608,0.000341608,16384
64,diagonal,D10,a,1,255809,0.255809,0.000255809,16384
64,diagonal,D10,a,2,374054,0.374054,0.000374054,16384
64,diagonal,D10,b,1,228587,0.228587,0.000228587,16384
64,diagonal,D10,b,2,233918,0.233918,0.000233918,16384
64,diagonal,D10,c,1,340042,0.340042,0.000340042,16384
64,diagonal,D10,c,2,302124,0.302124,0.000302124,16384
64,dispersa,D0,a,1,205187,0.205187,0.000205187,16384
64,dispersa,D0,a,2,319611,0.319611,0.000319611,16384
64,dispersa,D0,b,1,206617,0.206617,0.000206617,16384
64,dispersa,D0,b,2,205087,0.205087,0.000205087,16384
64,dispersa,D0,c,1,204113,0.204113,0.000204113,16384
64,dispersa,D0,c,2,268782,0.268782,0.000268782,16384
64,dispersa,D10,a,1,261859,0.261859,0.000261859,16384
64,dispersa,D10,a,2,205384,0.205384,0.000205384,16384
64,dispersa,D10,b,1,204060,0.20406,0.00020406,16384
64,dispersa,D10,b,2,231174,0.231174,0.000231174,16384
64,dispersa,D10,c,1,226307,0.226307,0.000226307,16384
64,dispersa,D10,c,2,205874,0.205874,0.000205874,16384
256,densa,D0,a,1,17026926,17.0269,0.0170269,262144
256,densa,D0,a,2,14685561,14.6856,0.0146856,262144
256,densa,D0,b,1,14319030,14.319,0.014319,262144
256,densa,D0,b,2,16220586,16.2206,0.0162206,262144
256,densa,D0,c,1,16916981,16.917,0.016917,262144
256,densa,D0,c,2,13367396,13.3674,0.0133674,262144
256,densa,D10,a,1,14919708,14.9197,0.0149197,262144
256,densa,D10,a,2,16843226,16.8432,0.0168432,262144
256,densa,D10,b,1,15737391,15.7374,0.0157374,262144
256,densa,D10,b,2,17414672,17.4147,0.0174147,262144
256,densa,D10,c,1,16599262,16.5993,0.0165993,262144
256,densa,D10,c,2,14654139,14.6541,0.0146541,262144
256,diagonal,D0,a,1,21192080,21.1921,0.0211921,262144
256,diagonal,D0,a,2,16038160,16.0382,0.0160382,262144
256,diagonal,D0,b,1,13613309,13.6133,0.0136133,262144
256,diagonal,D0,b,2,14427905,14.4279,0.0144279,262144
