n,t,d,m,caso,tiempo_ns,tiempo_ms,tiempo_s,memoria_bytes
16,densa,D0,a,1,2628802,2.6288,0.0026288,1024
16,densa,D0,a,2,2687343,2.68734,0.00268734,1024
16,densa,D0,b,1,2449618,2.44962,0.00244962,1024
16,densa,D0,b,2,2685519,2.68552,0.00268552,1024
16,densa,D0,c,1,2974100,2.9741,0.0029741,1024
16,densa,D0,c,2,1226850,1.22685,0.00122685,1024
16,densa,D10,a,1,1628418,1.62842,0.00162842,1024
16,densa,D10,a,2,1387770,1.38777,0.00138777,1024
16,densa,D10,b,1,1745359,1.74536,0.00174536,1024
16,densa,D10,b,2,3351349,3.35135,0.00335135,1024
16,densa,D10,c,1,2747404,2.7474,0.0027474,1024
16,densa,D10,c,2,2422640,2.42264,0.00242264,1024
16,diagonal,D0,a,1,2654898,2.6549,0.0026549,1024
16,diagonal,D0,a,2,1410540,1.41054,0.00141054,1024
16,diagonal,D0,b,1,1161166,1.16117,0.00116117,1024
16,diagonal,D0,b,2,1218610,1.21861,0.00121861,1024
16,diagonal,D0,c,1,1494551,1.49455,0.00149455,1024
16,diagonal,D0,c,2,1530677,1.53068,0.00153068,1024
16,diagonal,D10,a,1,2140328,2.14033,0.00214033,1024
16,diagonal,D10,a,2,2095961,2.09596,0.00209596,1024
16,diagonal,D10,b,1,1249477,1.24948,0.00124948,1024
16,diagonal,D10,b,2,2447558,2.44756,0.00244756,1024
16,diagonal,D10,c,1,2914237,2.91424,0.00291424,1024
16,diagonal,D10,c,2,2720664,2.72066,0.00272066,1024
16,dispersa,D0,a,1,1498440,1.49844,0.00149844,1024
16,dispersa,D0,a,2,1537928,1.53793,0.00153793,1024
16,dispersa,D0,b,1,1264053,1.26405,0.00126405,1024
16,dispersa,D0,b,2,2413777,2.41378,0.00241378,1024
16,dispersa,D0,c,1,1688063,1.68806,0.00168806,1024
16,dispersa,D0,c,2,2361191,2.36119,0.00236119,1024
16,dispersa,D10,a,1,1527924,1.52792,0.00152792,1024
16,dispersa,D10,a,2,2113922,2.11392,0.00211392,1024
16,dispersa,D10,b,1,3250133,3.25013,0.00325013,1024
16,dispersa,D10,b,2,2184664,2.18466,0.00218466,1024
16,dispersa,D10,c,1,2675010,2.67501,0.00267501,1024
16,dispersa,D10,c,2,1133303,1.1333,0.0011333,1024
64,densa,D0,a,1,104662896,104.663,0.104663,16384
64,densa,D0,a,2,112016501,112.017,0.112017,16384
64,densa,D0,b,1,112397028,112.397,0.112397,16384
64,densa,D0,b,2,112736911,112.737,0.112737,16384
64,densa,D0,c,1,105600457,105.6,0.1056,16384
64,densa,D0,c,2,112846543,112.847,0.112847,16384
64,densa,D10,a,1,123445938,123.446,0.123446,16384
64,densa,D10,a,2,112991245,112.991,0.112991,16384
64,densa,D10,b,1,113312736,113.313,0.113313,16384
64,densa,D10,b,2,108219044,108.219,0.108219,16384
64,densa,D10,c,1,106423306,106.423,0.106423,16384
64,densa,D10,c,2,121431370,121.431,0.121431,16384
64,diagonal,D0,a,1,116363778,116.364,0.116364,16384
64,diagonal,D0,a,2,105309828,105.31,0.10531,16384
64,diagonal,D0,b,1,126114908,126.115,0.126115,16384
64,diagonal,D0,b,2,118577434,118.577,0.118577,16384
64,diagonal,D0,c,1,102615851,102.616,0.102616,16384
64,diagonal,D0,c,2,104221601,104.222,0.104222,16384
64,diagonal,D10,a,1,108078043,108.078,0.108078,16384
64,diagonal,D10,a,2,116879865,116.88,0.11688,16384
64,diagonal,D10,b,1,118807842,118.808,0.118808,16384
64,diagonal,D10,b,2,133666705,133.667,0.133667,16384
64,diagonal,D10,c,1,106151061,106.151,0.106151,16384
64,diagonal,D10,c,2,112844534,112.845,0.112845,16384
64,dispersa,D0,a,1,117382389,117.382,0.117382,16384
64,dispersa,D0,a,2,118846625,118.847,0.118847,16384
64,dispersa,D0,b,1,135140118,135.14,0.13514,16384
64,dispersa,D0,b,2,113833001,113.833,0.113833,16384
64,dispersa,D0,c,1,109968904,109.969,0.109969,16384
64,dispersa,D0,c,2,119288429,119.288,0.119288,16384
64,dispersa,D10,a,1,114486968,114.487,0.114487,16384
64,dispersa,D10,a,2,114901860,114.902,0.114902,16384
64,dispersa,D10,b,1,113660750,113.661,0.113661,16384
64,dispersa,D10,b,2,117249095,117.249,0.117249,16384
64,dispersa,D10,c,1,113953747,113.954,0.113954,16384
64,dispersa,D10,c,2,107899535,107.9,0.1079,16384
256,densa,D0,a,1,3984276594,3984.28,3.98428,262144
256,densa,D0,a,2,3965090792,3965.09,3.96509,262144
256,densa,D0,b,1,4365860124,4365.86,4.36586,262144
256,densa,D0,b,2,4607511940,4607.51,4.60751,262144
256,densa,D0,c,1,4575762127,4575.76,4.57576,262144
256,densa,D0,c,2,4509275037,4509.28,4.50928,262144
256,densa,D10,a,1,4486987670,4486.99,4.48699,262144
256,densa,D10,a,2,4467819383,4467.82,4.46782,262144
256,densa,D10,b,1,4397175404,4397.18,4.39718,262144
256,densa,D10,b,2,4637210424,4637.21,4.63721,262144
256,densa,D10,c,1,4489752242,4489.75,4.48975,262144
256,densa,D10,c,2,4589458689,4589.46,4.58946,262144
256,diagonal,D0,a,1,4604245229,4604.25,4.60425,262144
256,diagonal,D0,a,2,4575110657,4575.11,4.57511,262144
256,diagonal,D0,b,1,4534820986,4534.82,4.53482,262144
256,diagonal,D0,b,2,4457386050,4457.39,4.45739,262144
256,diagonal,D0,c,1,4531520654,4531.52,4.53152,262144
256,diagonal,D0,c,2,4337254681,4337.25,4.33725,262144
256,diagonal,D10,a,1,4566170040,4566.17,4.56617,262144
256,diagonal,D10,a,2,4612194779,4612.19,4.61219,262144
256,diagonal,D10,b,1,4529466462,4529.47,4.52947,262144
256,diagonal,D10,b,2,4464348486,4464.35,4.46435,262144
256,diagonal,D10,c,1,4491742511,4491.74,4.49174,262144
256,diagonal,D10,c,2,4442029985,4442.03,4.44203,262144
256,dispersa,D0,a,1,4500894826,4500.89,4.50089,262144
256,dispersa,D0,a,2,4577575458,4577.58,4.57758,262144
256,dispersa,D0,b,1,4600889268,4600.89,4.60089,262144
256,dispersa,D0,b,2,4579517156,4579.52,4.57952,262144
256,dispersa,D0,c,1,4537623363,4537.62,4.53762,262144
256,dispersa,D0,c,2,4618901403,4618.9,4.6189,262144
256,dispersa,D10,a,1,4512469270,4512.47,4.51247,262144
256,dispersa,D10,a,2,4622369283,4622.37,4.62237,262144
256,dispersa,D10,b,1,4521437275,4521.44,4.52144,262144
256,dispersa,D10,b,2,4550972594,4550.97,4.55097,262144
256,dispersa,D10,c,1,4628196642,4628.2,4.6282,262144
256,dispersa,D10,c,2,4306952240,4306.95,4.30695,262144
1024,densa,D0,a,1,179922959162,179923,179.923,4194304
1024,densa,D0,a,2,124638437335,124638,124.638,4194304
