n,t,d,m,tiempo_ns,tiempo_ms,tiempo_s,memoria_bytes
10,aleatorio,D1,a,3286,0.003286,3.286e-06,40
10,aleatorio,D1,b,3377,0.003377,3.377e-06,40
10,aleatorio,D1,c,3402,0.003402,3.402e-06,40
10,aleatorio,D7,a,3348,0.003348,3.348e-06,40
10,aleatorio,D7,b,3272,0.003272,3.272e-06,40
10,aleatorio,D7,c,3281,0.003281,3.281e-06,40
10,ascendente,D1,a,3025,0.003025,3.025e-06,40
10,ascendente,D1,b,2693,0.002693,2.693e-06,40
10,ascendente,D1,c,2911,0.002911,2.911e-06,40
10,ascendente,D7,a,3100,0.0031,3.1e-06,40
10,ascendente,D7,b,3168,0.003168,3.168e-06,40
10,ascendente,D7,c,3453,0.003453,3.453e-06,40
10,descendente,D1,a,2971,0.002971,2.971e-06,40
10,descendente,D1,b,4311,0.004311,4.311e-06,40
10,descendente,D1,c,3199,0.003199,3.199e-06,40
10,descendente,D7,a,2879,0.002879,2.879e-06,40
10,descendente,D7,b,3010,0.00301,3.01e-06,40
10,descendente,D7,c,2936,0.002936,2.936e-06,40
1000,aleatorio,D1,a,380914,0.380914,0.000380914,4000
1000,aleatorio,D1,b,346276,0.346276,0.000346276,4000
1000,aleatorio,D1,c,427700,0.4277,0.0004277,4000
1000,aleatorio,D7,a,361773,0.361773,0.000361773,4000
1000,aleatorio,D7,b,334677,0.334677,0.000334677,4000
1000,aleatorio,D7,c,428156,0.428156,0.000428156,4000
1000,ascendente,D1,a,208535,0.208535,0.000208535,4000
1000,ascendente,D1,b,263438,0.263438,0.000263438,4000
1000,ascendente,D1,c,213099,0.213099,0.000213099,4000
1000,ascendente,D7,a,359322,0.359322,0.000359322,4000
1000,ascendente,D7,b,492973,0.492973,0.000492973,4000
1000,ascendente,D7,c,282541,0.282541,0.000282541,4000
1000,descendente,D1,a,566034,0.566034,0.000566034,4000
1000,descendente,D1,b,237978,0.237978,0.000237978,4000
1000,descendente,D1,c,351669,0.351669,0.000351669,4000
1000,descendente,D7,a,271538,0.271538,0.000271538,4000
1000,descendente,D7,b,259169,0.259169,0.000259169,4000
1000,descendente,D7,c,274086,0.274086,0.000274086,4000
100000,aleatorio,D1,a,1602870796,1602.87,1.60287,400000
100000,aleatorio,D1,b,1652132312,1652.13,1.65213,400000
100000,aleatorio,D1,c,1640124938,1640.12,1.64012,400000
100000,aleatorio,D7,a,1476730354,1476.73,1.47673,400000
100000,aleatorio,D7,b,1488978592,1488.98,1.48898,400000
100000,aleatorio,D7,c,1480644957,1480.64,1.48064,400000
100000,ascendente,D1,a,1481455997,1481.46,1.48146,400000
100000,ascendente,D1,b,1471206818,1471.21,1.47121,400000
100000,ascendente,D1,c,1458629409,1458.63,1.45863,400000
100000,ascendente,D7,a,1465519104,1465.52,1.46552,400000
100000,ascendente,D7,b,1485024306,1485.02,1.48502,400000
100000,ascendente,D7,c,1506349601,1506.35,1.50635,400000
100000,descendente,D1,a,1459602919,1459.6,1.4596,400000
100000,descendente,D1,b,1462136664,1462.14,1.46214,400000
100000,descendente,D1,c,1465588944,1465.59,1.46559,400000
100000,descendente,D7,a,1489506042,1489.51,1.48951,400000
100000,descendente,D7,b,1499752372,1499.75,1.49975,400000
100000,descendente,D7,c,1508637514,1508.64,1.50864,400000
