n,t,d,m,tiempo_ns,tiempo_ms,tiempo_s,memoria_bytes
10,aleatorio,D1,a,1288,0.001288,1.288e-06,13
10,aleatorio,D1,b,1203,0.001203,1.203e-06,13
10,aleatorio,D1,c,1278,0.001278,1.278e-06,13
10,aleatorio,D7,a,1460,0.00146,1.46e-06,13
10,aleatorio,D7,b,1316,0.001316,1.316e-06,13
10,aleatorio,D7,c,1301,0.001301,1.301e-06,13
10,ascendente,D1,a,1157,0.001157,1.157e-06,13
10,ascendente,D1,b,927,0.000927,9.27e-07,13
10,ascendente,D1,c,1104,0.001104,1.104e-06,13
10,ascendente,D7,a,1003,0.001003,1.003e-06,13
10,ascendente,D7,b,1031,0.001031,1.031e-06,13
10,ascendente,D7,c,1210,0.00121,1.21e-06,13
10,descendente,D1,a,1163,0.001163,1.163e-06,13
10,descendente,D1,b,1423,0.001423,1.423e-06,13
10,descendente,D1,c,993,0.000993,9.93e-07,13
10,descendente,D7,a,1102,0.001102,1.102e-06,13
10,descendente,D7,b,971,0.000971,9.71e-07,13
10,descendente,D7,c,1132,0.001132,1.132e-06,13
1000,aleatorio,D1,a,114840,0.11484,0.00011484,39
1000,aleatorio,D1,b,110850,0.11085,0.00011085,39
1000,aleatorio,D1,c,113369,0.113369,0.000113369,39
1000,aleatorio,D7,a,240818,0.240818,0.000240818,39
1000,aleatorio,D7,b,203929,0.203929,0.000203929,39
1000,aleatorio,D7,c,197202,0.197202,0.000197202,39
1000,ascendente,D1,a,57627,0.057627,5.7627e-05,39
1000,ascendente,D1,b,73525,0.073525,7.3525e-05,39
1000,ascendente,D1,c,57613,0.057613,5.7613e-05,39
1000,ascendente,D7,a,58329,0.058329,5.8329e-05,39
1000,ascendente,D7,b,55722,0.055722,5.5722e-05,39
1000,ascendente,D7,c,140626,0.140626,0.000140626,39
1000,descendente,D1,a,77545,0.077545,7.7545e-05,39
1000,descendente,D1,b,68167,0.068167,6.8167e-05,39
1000,descendente,D1,c,78465,0.078465,7.8465e-05,39
1000,descendente,D7,a,55760,0.05576,5.576e-05,39
1000,descendente,D7,b,52039,0.052039,5.2039e-05,39
1000,descendente,D7,c,55573,0.055573,5.5573e-05,39
100000,aleatorio,D1,a,571418234,571.418,0.571418,66
100000,aleatorio,D1,b,570656860,570.657,0.570657,66
100000,aleatorio,D1,c,513272465,513.272,0.513272,66
100000,aleatorio,D7,a,657404097,657.404,0.657404,66
100000,aleatorio,D7,b,660150379,660.15,0.66015,66
100000,aleatorio,D7,c,668173718,668.174,0.668174,66
100000,ascendente,D1,a,602534159,602.534,0.602534,66
100000,ascendente,D1,b,604331885,604.332,0.604332,66
100000,ascendente,D1,c,605324517,605.325,0.605325,66
100000,ascendente,D7,a,483608766,483.609,0.483609,66
100000,ascendente,D7,b,491122469,491.122,0.491122,66
100000,ascendente,D7,c,501706621,501.707,0.501707,66
100000,descendente,D1,a,595804656,595.805,0.595805,66
100000,descendente,D1,b,606268343,606.268,0.606268,66
100000,descendente,D1,c,609285039,609.285,0.609285,66
100000,descendente,D7,a,501094980,501.095,0.501095,66
100000,descendente,D7,b,500511085,500.511,0.500511,66
100000,descendente,D7,c,497370810,497.371,0.497371,66
