n,t,d,m,tiempo_ns,tiempo_ms,tiempo_s,memoria_bytes
10,aleatorio,D1,a,1105,0.001105,1.105e-06,13
10,aleatorio,D1,b,942,0.000942,9.42e-07,13
10,aleatorio,D1,c,1184,0.001184,1.184e-06,13
10,aleatorio,D7,a,1030,0.00103,1.03e-06,13
10,aleatorio,D7,b,933,0.000933,9.33e-07,13
10,aleatorio,D7,c,1200,0.0012,1.2e-06,13
10,ascendente,D1,a,981,0.000981,9.81e-07,13
10,ascendente,D1,b,902,0.000902,9.02e-07,13
10,ascendente,D1,c,750,0.00075,7.5e-07,13
10,ascendente,D7,a,822,0.000822,8.22e-07,13
10,ascendente,D7,b,688,0.000688,6.88e-07,13
10,ascendente,D7,c,1044,0.001044,1.044e-06,13
10,descendente,D1,a,1324,0.001324,1.324e-06,13
10,descendente,D1,b,1312,0.001312,1.312e-06,13
10,descendente,D1,c,1140,0.00114,1.14e-06,13
10,descendente,D7,a,903,0.000903,9.03e-07,13
10,descendente,D7,b,1054,0.001054,1.054e-06,13
10,descendente,D7,c,937,0.000937,9.37e-07,13
1000,aleatorio,D1,a,36211,0.036211,3.6211e-05,39
1000,aleatorio,D1,b,34478,0.034478,3.4478e-05,39
1000,aleatorio,D1,c,39137,0.039137,3.9137e-05,39
1000,aleatorio,D7,a,68547,0.068547,6.8547e-05,39
1000,aleatorio,D7,b,65133,0.065133,6.5133e-05,39
1000,aleatorio,D7,c,71743,0.071743,7.1743e-05,39
1000,ascendente,D1,a,9449,0.009449,9.449e-06,39
1000,ascendente,D1,b,10966,0.010966,1.0966e-05,39
1000,ascendente,D1,c,8955,0.008955,8.955e-06,39
1000,ascendente,D7,a,12180,0.01218,1.218e-05,39
1000,ascendente,D7,b,14180,0.01418,1.418e-05,39
1000,ascendente,D7,c,13284,0.013284,1.3284e-05,39
1000,descendente,D1,a,11902,0.011902,1.1902e-05,39
1000,descendente,D1,b,11149,0.011149,1.1149e-05,39
1000,descendente,D1,c,12251,0.012251,1.2251e-05,39
1000,descendente,D7,a,8440,0.00844,8.44e-06,39
1000,descendente,D7,b,7886,0.007886,7.886e-06,39
1000,descendente,D7,c,7906,0.007906,7.906e-06,39
100000,aleatorio,D1,a,1631787,1.63179,0.00163179,66
100000,aleatorio,D1,b,1827774,1.82777,0.00182777,66
100000,aleatorio,D1,c,1466305,1.4663,0.0014663,66
100000,aleatorio,D7,a,4398026,4.39803,0.00439803,66
100000,aleatorio,D7,b,4427975,4.42797,0.00442797,66
100000,aleatorio,D7,c,4420573,4.42057,0.00442057,66
100000,ascendente,D1,a,467470,0.46747,0.00046747,66
100000,ascendente,D1,b,428794,0.428794,0.000428794,66
100000,ascendente,D1,c,457172,0.457172,0.000457172,66
100000,ascendente,D7,a,589070,0.58907,0.00058907,66
100000,ascendente,D7,b,550599,0.550599,0.000550599,66
100000,ascendente,D7,c,551961,0.551961,0.000551961,66
100000,descendente,D1,a,472402,0.472402,0.000472402,66
100000,descendente,D1,b,448561,0.448561,0.000448561,66
100000,descendente,D1,c,412926,0.412926,0.000412926,66
100000,descendente,D7,a,459979,0.459979,0.000459979,66
100000,descendente,D7,b,458913,0.458913,0.000458913,66
100000,descendente,D7,c,631060,0.63106,0.00063106,66
